2.2858669757843018,0.01,-0.25697295576015794,-0.2178511869421412,0.18856223399052907,-0.262904614635244,0.0,1.3799490561953773,1.336319594991646,-1.5707963267948966,1.5707963267948966,0.016625544861108687,0.0
2.4401211738586426,0.19334153128442857,-0.2855302302282163,-0.2364150929552318,0.10132900823372858,-0.19524621361255198,0.0,1.372449510576125,1.3343812338396646,-1.5707963267948966,1.5707963267948966,-0.005005284934343125,0.0
2.638077974319458,0.18513698553785823,-0.3136475602717643,-0.2551594482724945,0.14981429946461164,-0.19095465906291825,0.0,1.373511982235165,1.3004542496506848,-1.5707963267948966,1.5707963267948966,-0.01214735902187367,0.0
2.795696258544922,0.17852541216964102,-0.32418747494114786,-0.3001493141805433,0.3914676693330576,-0.17249292788570775,0.0,1.3723969747424023,1.1946526080732396,-1.5707963267948966,1.5707963267948966,-0.019873939882853093,0.0
2.946824073791504,0.18593792317053628,-0.3446773347657835,-0.41743983106143284,0.560193664311813,-0.16960412078422865,0.0,1.366115631860466,1.0237192749882007,-1.5707963267948966,0.0,-0.018742771763894103,0.0
3.107221841812134,0.18960954802841887,-0.35565584109354614,-0.6096915639270571,0.5841828481283554,-0.19897037215599622,0.0,1.369316020609452,0.8787177357676882,-1.5707963267948966,0.0,-0.011870758157025445,0.0
3.373863697052002,0.19859933338290345,-0.37281425221691183,-0.7182143590550926,0.7418327834028754,-0.21007580769347098,0.0,1.3673141047157242,0.6799607999217638,-1.5707963267948966,0.0,-0.004882888696268606,0.0
3.52706241607666,0.20530399710509267,-0.3787112078417919,-0.8122085961530556,0.9134564754541944,-0.22213205157057747,0.0,1.3652249370605467,0.48704405524603817,-1.5707963267948966,1.5707963267948966,-0.0002673926292575439,0.0
3.70330548286438,0.2117417472047756,-0.39103804070939685,-0.8866544579785328,1.092614712160176,-0.2742749548927972,0.0,1.3590545795901212,0.3732319588402473,-1.5707963267948966,1.5707963267948966,0.0189340611562872,0.0
3.8511955738067627,0.2219623149182406,-0.41014459563940103,-0.9046266497044849,1.2444758090330958,-0.3146945904609749,0.0,1.3488340118766555,0.2767088877688402,-1.5707963267948966,1.5707963267948966,0.04347254324462953,0.0
4.033724069595337,0.22076530627097443,-0.40415846375727027,-0.9099187321947783,1.3196426056913646,-0.30562560939034755,0.0,1.3500310205239217,0.2164186651434101,-1.5707963267948966,1.5707963267948966,0.05142553247278221,-0.0
4.20682168006897,0.22176055195895952,-0.3910129079893365,-0.8577260177579759,1.56,-0.3395251092230896,0.0,1.3490357748359365,0.22412869518293108,-1.5707963267948966,1.5707963267948966,0.06005139333247067,-0.0
4.38652229309082,0.22161519426056484,-0.3886597954665521,-0.843631315590601,1.56,-0.34091929687263656,0.0,1.3491811325343321,0.1822815938487109,-1.5707963267948966,1.5707963267948966,0.05869472241687401,-0.0
4.537362337112427,0.21390020128818338,-0.3810589417096044,-0.8202790874962614,1.56,-0.33037332390802554,0.0,1.3568961255067127,0.17753212783900335,-1.5707963267948966,1.5707963267948966,0.05681353056569174,-0.0
4.710941791534424,0.21048722622826924,-0.38170813099254314,-0.821569704792625,1.56,-0.322972124944065,0.0,1.3603091005666266,0.15333696166671115,-1.5707963267948966,1.5707963267948966,0.05722188033854871,-0.0
4.849869966506958,0.20197864452488756,-0.39495886222658994,-0.8011201314403007,1.56,-0.31992470973982345,0.0,1.3688176822700096,0.12275530807123565,-1.5707963267948966,1.5707963267948966,0.06313598347005892,-0.0
5.012927055358887,0.01,-0.39010222314975607,-0.7950793294063959,1.423110673011033,-0.3141586734858386,0.0,1.3817391597188151,0.08350950216606376,-1.5707963267948966,1.5707963267948966,0.06861687987839919,-0.0
5.158113956451416,0.01,-0.39397072074170175,-0.8050021967832116,1.039215621179874,-0.36405855282226185,0.0,1.3920076000679704,-0.0024712837318559867,-1.5707963267948966,1.5707963267948966,0.082643675823586,-0.0
5.321539878845215,0.01,-0.39877345065171205,-0.8437009571126547,0.86312054939155,-0.360668809594286,0.0,1.3958655926355341,-0.04345517655765887,-1.5707963267948966,1.5707963267948966,0.09107723130266406,-0.0
5.505800485610962,0.01,-0.3958009991156068,-0.8344364261304266,0.8862330531947352,-0.3676751262855904,0.0,1.4011167309726615,-0.04251442797737806,-1.5707963267948966,1.5707963267948966,0.09887866362646788,-0.0
5.785365343093872,0.01,-0.3828638654253015,-0.8350326095476038,1.0243034948942262,-0.3739977917896644,0.0,1.3998294639475388,-0.0672436921529448,-1.5707963267948966,1.5707963267948966,0.09890716824669225,-0.0
5.942671298980713,0.01,-0.37137848767725046,-0.8398885751794137,1.211430894910706,-0.35582296505404426,0.0,1.3949539101228792,-0.08031087899643552,-1.5707963267948966,1.5707963267948966,0.09403920363789452,-0.0
6.119938611984253,0.01,-0.3596380004211795,-0.8439072032721143,1.56,-0.41499756629386697,0.0,1.3989465264280745,-0.06213222586218622,-1.5707963267948966,1.5707963267948966,0.09276039781260777,-0.0
6.277278423309326,0.01,-0.36316739279729576,-0.8532455858155372,1.56,-0.5075400456250565,0.0,1.400290224515501,-0.04589075793889442,-1.5707963267948966,1.5707963267948966,0.09549875695760096,-0.0
6.427933692932129,0.01,-0.36234173216607507,-0.8613097761415545,1.56,-0.5487567236837332,0.0,1.4003965339947517,-0.02823877213820359,-1.5707963267948966,1.5707963267948966,0.09383491949129619,-0.0
